original,corrected,method
nancial,financial,curated_dictionary
scal,fiscal,curated_dictionary
nancial,financial,curated_dictionary
Ocer,Officer,curated_dictionary
condence,confidence,curated_dictionary
ow,flow,curated_dictionary
signicant,significant,curated_dictionary
exible,flexible,curated_dictionary
diversied,diversified,curated_dictionary
ow,flow,curated_dictionary
ow,flow,curated_dictionary
reecting,reflecting,curated_dictionary
prot,profit,curated_dictionary
oset,offset,curated_dictionary
reecting,reflecting,curated_dictionary
signicant,significant,curated_dictionary
articial,artificial,curated_dictionary
eectively,effectively,curated_dictionary
uctuations,fluctuations,curated_dictionary
lings,filings,curated_dictionary
lings,filings,curated_dictionary
prot,profit,curated_dictionary
